5L profile	Denmark	France	Germany	Japan	Netherlands	Spain	Thailand	UK	US	Zimbabwe
35533	0.367	-0.046	0.291	0.395	0.240	-0.076	0.074	0.079	0.331	0.365
35534	0.220	-0.102	0.259	0.371	0.141	-0.116	0.036	-0.002	0.284	0.303
35535	0.068	-0.160	0.226	0.346	0.039	-0.158	-0.004	-0.086	0.235	0.238
35541	0.302	-0.017	0.210	0.413	0.267	-0.083	0.051	0.045	0.305	0.317
35542	0.248	-0.089	0.210	0.363	0.169	-0.132	0.026	-0.011	0.273	0.281
35543	0.234	-0.107	0.210	0.350	0.143	-0.145	0.019	-0.026	0.265	0.271
35544	0.087	-0.163	0.178	0.325	0.044	-0.185	-0.019	-0.107	0.219	0.209
35545	-0.065	-0.221	0.145	0.301	-0.058	-0.227	-0.059	-0.191	0.172	0.144
35551	0.101	-0.109	0.088	0.344	0.121	-0.186	-0.031	-0.113	0.193	0.176
35552	0.047	-0.180	0.088	0.294	0.023	-0.235	-0.056	-0.169	0.171	0.140
35553	0.033	-0.199	0.088	0.281	-0.003	-0.248	-0.063	-0.184	0.165	0.130
35554	-0.114	-0.255	0.056	0.257	-0.102	-0.288	-0.101	-0.265	0.122	0.068
35555	-0.266	-0.313	0.023	0.232	-0.204	-0.330	-0.141	-0.349	0.077	0.003
41111	0.807	0.817	0.860	0.748	0.867	0.826	0.645	0.813	0.824	0.833
41112	0.753	0.745	0.860	0.698	0.769	0.777	0.619	0.757	0.804	0.797
41113	0.739	0.727	0.860	0.685	0.743	0.764	0.613	0.742	0.798	0.787
41114	0.593	0.592	0.681	0.661	0.538	0.591	0.511	0.539	0.663	0.725
41115	0.440	0.451	0.496	0.636	0.325	0.412	0.406	0.327	0.523	0.660
41121	0.758	0.727	0.771	0.684	0.798	0.754	0.587	0.714	0.790	0.780
41122	0.704	0.656	0.771	0.634	0.700	0.705	0.561	0.658	0.755	0.743
41123	0.690	0.637	0.771	0.621	0.674	0.692	0.555	0.643	0.747	0.734
41124	0.543	0.502	0.592	0.597	0.469	0.520	0.453	0.440	0.620	0.671
41125	0.391	0.362	0.406	0.572	0.256	0.340	0.348	0.229	0.489	0.607
41131	0.745	0.705	0.748	0.668	0.781	0.737	0.573	0.690	0.781	0.766
41132	0.691	0.633	0.748	0.618	0.683	0.688	0.547	0.634	0.744	0.730
41133	0.677	0.615	0.748	0.605	0.657	0.675	0.541	0.619	0.734	0.720
41134	0.531	0.480	0.569	0.581	0.452	0.502	0.439	0.416	0.609	0.658
41135	0.378	0.339	0.384	0.556	0.239	0.323	0.334	0.204	0.480	0.593
41141	0.612	0.579	0.547	0.623	0.597	0.560	0.466	0.485	0.643	0.672
41142	0.558	0.508	0.547	0.573	0.499	0.511	0.441	0.429	0.612	0.636
